state,country,gender,ethnicity,studentIDs,originSource,studentType,major,financialAidOfferedAmount,athlete,sport,raleyCollegeTagExists,recruitingTerritory,counselor,counselorIncomingTextCount,counselorOutgoingTextCount,phoneSuccessfulCount,phoneUnsuccessfulCount,phoneVoicemailCount,admittedStudentsDay,bisonDay,bisonDayAtTheWeekend,campusVisit,dallasBisonExclusive,footballVisit,golfVisit,oklahomaCityBisonExclusive,scholarsBisonDay,scholarsMixerAndBanquet,scholarshipInterview,scholarshipInterviewRegistration,softballVisit,trackVisit,tulsaBisonExclusive,volleyballVisit,eventsAttendedCount
AE,ARG,Not Declared,Eth-3,01458096,RNL Junior Search,Second Degree,Nursing,3914,Not Declared,Marching Band,Y,Homeschool,C7,2,15,14,9,14,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,3
Northern,BRB,Not Declared,Eth-5,01490941,Capture Higher Ed,Test Optional,Sports Communication,4702,Not Declared,Basketball (Men's),Not Declared,T06,C8,9,12,5,17,0,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,2
North Rhine-Westphalia,TJK,M,Eth-2,01421118,Clark Higher Ed Quick App,Readmit,Applied Mathematics: Actuarial and Financial Math Emphasis,2372,Y,Football,Y,P02,C9,11,6,16,2,15,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,14
Not Declared,BDI,M,Eth-8,01564614,Niche Prospects,Transfer,"Philosophy, Apologetics Emphasis",2199,Y,Basketball (Women's),Y,Homeschool,C6,12,4,15,0,18,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,11
Elgeyo-Marakwet,BEN,M,Eth-7,01519947,Phone Call - Voicemail,Second Degree,History,4837,Y,Basketball (Women's),Not Declared,T00,C4,6,0,17,19,8,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,0
OR,BWA,Not Declared,Eth-9,01522235,RNL Sophomore Search,Test Optional,Vocal Performance,2937,Y,Football,Y,P02,C3,19,10,0,13,9,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,16
Federal Capital Territory,CYP,M,Eth-8,01300435,Encoura Affinity Connection,First-Time Freshman,"Chemistry, Forensic Emphasis",3929,Y,Track & Field (Women's),Not Declared,T05,C5,19,0,7,11,7,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,14
Punjab,OMN,M,Eth-3,01492315,Clark Higher Ed Prospect,Test Optional,Criminal Justice,3105,Not Declared,Not Declared,Not Declared,T06,C14,12,20,8,9,7,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,15
Gaza,SAU,M,Not Declared,01453946,Text Message - Outgoing,Readmit,Management,4948,Y,Softball,Not Declared,T05,C13,8,2,2,14,15,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,4
Tashkent Province,UGA,Not Declared,Eth-2,01534022,Inquiry Card,Test Optional,Christian Ministry,4553,Not Declared,Marching Band,Y,T07,C7,6,14,17,8,18,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,14
